death_date,name,rank,unit,gender,age,from,story,pid,webpage
2023-10-07,עדן אלון לוי,"סמ""ר",חטיבת החילוץ וההדרכה,F,19,נירית,"מ""כית בבא""ח העורף. הועלתה מדרגת סמל לדרגת סמ""ר לאחר מותה.",1262.0,https://www.idf.il/נופלים/חללי-המלחמה/עדן-אלון-לוי/
2023-10-07,דביר לישה,סמל,חטיבת גולני,M,21,ניצן,"לוחם בגדוד 51. הועלה מדרגת רב""ט לדרגת סמל לאחר מותו.",237.0,https://www.idf.il/נופלים/חללי-המלחמה/דביר-לישה/
2023-10-07,עומרי ניב פיירשטיין,"סמ""ר",חטיבת החילוץ וההדרכה,M,20,גבעתיים,"לוחם חילוץ והצלה בבא""ח העורף.",1270.0,https://www.idf.il/נופלים/חללי-המלחמה/עומרי-ניב-פיירשטיין/
2023-10-07,אור מוזס,סרן,חטיבת החילוץ וההדרכה,F,22,אשדוד,"ס' מ""פ בבא""ח העורף. הועלתה מדרגת סגן לדרגת סרן לאחר מותה.",1268.0,https://www.idf.il/נופלים/חללי-המלחמה/אור-מוזס/
2023-10-07,ינאי קמינקא,סגן,חטיבת החילוץ וההדרכה,M,20,צור הדסה,"מפקד מחלקה בבא""ח העורף. הועלה מדרגת סג""ם לדרגת סגן לאחר מותו.",1265.0,https://www.idf.il/נופלים/חללי-המלחמה/ינאי-קמינקא/
2023-10-07,אפיק רוזנטל,"סמ""ר",חטיבת הקומנדו,M,20,כפר מנחם,"לוחם ביחידת מגל""ן. הועלה מדרגת סמל לדרגת סמ""ר לאחר מותו.",265.0,https://www.idf.il/נופלים/חללי-המלחמה/אפיק-רוזנטל/
2023-10-07,סהר ציון מחלוף,"סא""ל",אוגדת עזה,M,36,מודיעין מכבים רעות,"מג""ד תקשוב 481.",238.0,https://www.idf.il/נופלים/חללי-המלחמה/סהר-ציון-מחלוף/
2023-10-07,אור אסתו,"סמ""ר",חטיבת גולני,M,21,באר שבע,"נגד לוגיסטיקה בגדוד 51. הועלה מדרגת סמל לדרגת סמ""ר לאחר מותו.",224.0,https://www.idf.il/נופלים/חללי-המלחמה/אור-אסתו/
2023-10-07,אדר בן סימון,סגן,חטיבת החילוץ וההדרכה,F,20,נווה זיו,"מפקדת מחלקה בבא""ח העורף. הועלתה מדרגת סג""ם לדרגת סגן לאחר מותה.",1263.0,https://www.idf.il/נופלים/חללי-המלחמה/אדר-בן-סימון/
2023-10-07,אופיר ציוני,"סמ""ר",חטיבת גולני,M,21,יקנעם עילית,"מ""כ בגדוד 51 שבחטיבת גולני. הועלה מדרגת סמל לדרגת סמ""ר לאחר מותו.",245.0,https://www.idf.il/נופלים/חללי-המלחמה/אופיר-ציוני/
2023-10-07,יותם בן בסט,סרן,היחידה הרב-מימדית,M,24,בת חפר,מפקד צוות ביחידה הרב מימדית.,1053.0,https://www.idf.il/נופלים/חללי-המלחמה/יותם-בן-בסט/
2023-10-07,אדיר עבודי,"רס""ן",חטיבת החילוץ וההדרכה,M,23,מודיעין מכבים רעות,"מ""פ בבא""ח העורף. הועלה מדרגת סרן לדרגת רס""ן לאחר מותו.",209.0,https://www.idf.il/נופלים/חללי-המלחמה/אדיר-עבודי/
2023-10-07,ירון זהר,סמל,חטיבת גולני,M,19,קרית אתא,"לוחם בגדוד 13 שבחטיבת גולני. הועלה מדרגת רב""ט לדרגת סמל לאחר מותו.",253.0,https://www.idf.il/נופלים/חללי-המלחמה/ירון-זהר/
2023-10-07,יהונתן (ברנש) צור,"סא""ל","חטיבת הנח""ל",M,33,קדומים,"מג""ד סיירת נח""ל.",246.0,https://www.idf.il/נופלים/חללי-המלחמה/יהונתן-ברנש-צור/
2023-10-07,איתי אליהו מרציאנו,"סמ""ר",חטיבת הצנחנים,M,20,בית עריף,"סמל מחלקה בבא""ח צנחנים. הועלה מדרגת סמל לדרגת סמ""ר לאחר מותו.",1633.0,https://www.idf.il/נופלים/חללי-המלחמה/איתי-אליהו-מרציאנו/
2023-10-07,אברהם חובלאשוילי,"רס""ן",חיל הגנת הגבולות,M,26,אשדוד,"סמג""ד קרקל.",234.0,https://www.idf.il/נופלים/חללי-המלחמה/אברהם-חובלאשוילי/
2023-10-07,איתי מאור,סרן,חטיבת גולני,M,23,ראש העין,מפקד מחלקה בגדוד 51 שבחטיבת גולני. הועלה מדרגת סגן לדרגת סרן לאחר מותו.,1266.0,https://www.idf.il/נופלים/חללי-המלחמה/איתי-מאור/
2023-10-07,אילי גמזו,"סמ""ר",חטיבת הצנחנים,M,20,אשדוד,"מפקד כיתה בבא""ח צנחנים.",228.0,https://www.idf.il/נופלים/חללי-המלחמה/אילי-גמזו/
2023-10-07,אופיר דוידיאן,"רב""ט",פיקוד העורף,F,18,פטיש,"חיילת בלוגיסטיקה בפיקוד העורף. הועלתה מדרגת טוראי לדרגת רב""ט לאחר מותה.",220.0,https://www.idf.il/נופלים/חללי-המלחמה/אופיר-דוידיאן/
2023-10-07,אורי לוקר,סמל,חטיבת גולני,M,19,פרדס חנה כרכור,"לוחם בגדוד 51 שבחטיבת גולני. הועלה מדרגת רב""ט לדרגת סמל לאחר מותו.",509.0,https://www.idf.il/נופלים/חללי-המלחמה/אורי-לוקר/
2023-10-07,אריה שלמה צירינג,"רס""ן",יחידת עוקץ,M,27,רעננה,"מ""פ תקיפה ביחידת עוקץ. הועלה מדרגת סרן לדרגת רס""ן לאחר מותו.",252.0,https://www.idf.il/נופלים/חללי-המלחמה/אריה-שלמה-צירינג/
2023-10-07,אהד כהן,"רס""ל",יחידת שלדג,M,20,עידן,"לוחם ביחידת שלדג. הועלה מדרגת סמ""ר לדרגת רס""ל לאחר מותו.",219.0,https://www.idf.il/נופלים/חללי-המלחמה/אהד-כהן/
2023-10-07,רועי יוסף לוי,"אל""ם",היחידה הרב-מימדית,M,44,שבי ציון,מפקד היחידה הרב-מימדית.,1063.0,https://www.idf.il/נופלים/חללי-המלחמה/רועי-יוסף-לוי/
2023-10-07,תומר שוהם,סרן,"חטיבת הנח""ל",M,23,שריגים,"מפקד מחלקה בסיירת נח""ל. הועלה מדרגת סגן לדרגת סרן לאחר מותו.",285.0,https://www.idf.il/נופלים/חללי-המלחמה/תומר-שוהם/
2023-10-07,עידו יהושע,"רס""ן",יחידת שלדג,M,27,איילת השחר,מפקד פלגה ביחידת שלדג.,249.0,https://www.idf.il/נופלים/חללי-המלחמה/עידו-יהושע/
2023-10-07,עמרי מיכאלי,"רס""ם (במיל')",חטיבת הקומנדו,M,35,נס ציונה,לוחם ביחידת דובדבן.,328.0,https://www.idf.il/נופלים/חללי-המלחמה/עמרי-מיכאלי/
2023-10-07,ויטלי סקיפקביץ׳,"רס""ל",חטיבת הקומנדו,M,21,אריאל,לוחם ביחידת אגוז.,1144.0,https://www.idf.il/נופלים/חללי-המלחמה/ויטלי-סקיפקביץ/
2023-10-07,איתמר עיש,סמל,פיקוד העורף,M,19,קרית גת,שירת במחוז דרום של פיקוד העורף,212.0,https://www.idf.il/נופלים/חללי-המלחמה/איתמר-עיש/
2023-10-07,רום שלומי,סרן,יחידת שלדג,M,23,מושב גנות,מפקד מחלקת סיור ביחידת שלדג. הועלה מדרגת סגן לדרגת סרן לאחר מותו.,994.0,https://www.idf.il/נופלים/חללי-המלחמה/רום-שלומי/
2023-10-07,טל גרושקה,"רס""ן","חטיבת הנח""ל",M,25,כפר סבא,"מפקד פלוגה בגדוד 931 שבחטיבת הנח""ל. הועלה מדרגת סרן לדרגת רס""ן לאחר מותו.",309.0,https://www.idf.il/נופלים/חללי-המלחמה/טל-גרושקה/
2023-10-07,אריאל אליהו,סמל,עוצבת סער מגולן (7),M,19,מצפה יריחו,"לוחם שריון בגדוד 77 שבעוצבת 'סער מגולן' (7). הועלה מדרגת רב""ט לדרגת סמל לאחר מותו.",1545.0,https://www.idf.il/נופלים/חללי-המלחמה/אריאל-אליהו/
2023-10-07,גיא שמחי,"סמ""ר",חטיבת הצנחנים,M,20,גדרה,לוחם בסיירת צנחנים.,1447.0,https://www.idf.il/נופלים/חללי-המלחמה/גיא-שמחי/
2023-10-07,אדיר גאורי,סגן,"סיירת מטכ""ל",M,20,ירושלים,"לוחם בסיירת מטכ""ל. הועלה מדרגת סמ""ר לדרגת סגן לאחר מותו.",1709.0,https://www.idf.il/נופלים/חללי-המלחמה/אדיר-גאורי/
2023-10-07,רועי וייזר,"סמ""ר",חטיבת גולני,M,21,אפרת,לוחם בגדוד 13 שבחטיבת גולני.,1439.0,https://www.idf.il/נופלים/חללי-המלחמה/רועי-וייזר/
2023-10-07,אור מזרחי,"סמ""ר","חטיבת הנח""ל",M,21,פתח תקווה,"לוחם בסיירת נח""ל.",264.0,https://www.idf.il/נופלים/חללי-המלחמה/אור-מזרחי/
2023-10-07,עמית גואטה,סמל,חטיבת הקומנדו,M,21,רחובות,"לוחם ביחידת מגלן. הועלה מדרגת רב""ט לדרגת סמל לאחר מותו.",230.0,https://www.idf.il/נופלים/חללי-המלחמה/עמית-גואטה/
2023-10-07,עידו רוזנטל,"רנ""ג",יחידת שלדג,M,45,בן שמן,"לוחם בשלדג. הועלה מדרגת רס""ב לדרגת רנ""ג לאחר מותו.",1079.0,https://www.idf.il/נופלים/חללי-המלחמה/עידו-רוזנטל/
2023-10-07,דנית כהן,סמל,פיקוד העורף,F,19,שדרות,"סמב""צית במפקדת מחוז דרום. הועלתה מדרגת רב""ט לדרגת סמל לאחר מותה.",1137.0,https://www.idf.il/נופלים/חללי-המלחמה/דנית-כהן/
2023-10-07,אהרון פרש,"רס""ם",חיל הטכנולוגיה והאחזקה,M,36,אופקים,"בוחן צ""י בטנ""א מחוז דרום.",980.0,https://www.idf.il/נופלים/חללי-המלחמה/אהרון-פרש/
2023-10-07,אמיר סקורי,"רס""ן","סיירת מטכ""ל",M,31,ירושלים,"לוחם בסיירת מטכ""ל.",1437.0,https://www.idf.il/נופלים/חללי-המלחמה/אמיר-סקורי/
2023-10-07,שילה כהן,סרן,יחידת שלדג,M,24,שדרות,מפקד צוות ביחידת שלדג. הועלה מדרגת סגן לדרגת סרן לאחר מותו.,1138.0,https://www.idf.il/נופלים/חללי-המלחמה/שילה-כהן/
2023-10-07,אריאל בן משה,"רס""ן","סיירת מטכ""ל",M,27,קריית ביאליק,"מפקד פלוגה בסיירת מטכ""ל.",1692.0,https://www.idf.il/נופלים/חללי-המלחמה/אריאל-בן-משה/
2023-10-07,ליאור לוי,"רב""ט",פיקוד העורף,F,19,דימונה,"סמב""צית במחוז דרום של פיקוד העורף. הועלתה מדרגת טוראי לדרגת רב""ט לאחר מותה.",236.0,https://www.idf.il/נופלים/חללי-המלחמה/ליאור-לוי/
2023-10-07,אוראל משה,"סמ""ר",עוצבת סער מגולן (7),M,21,רכסים,"משגיח כשרות בגדוד 77, שבעוצבת סער מגולן.",1269.0,https://www.idf.il/נופלים/חללי-המלחמה/אוראל-משה/
2023-10-07,עילי בר שדה,סמל,חטיבת גולני,M,19,רמת גן,"לוחם בגדוד 13. הועלה מדרגת רב""ט לדרגת סמל לאחר מותו.",466.0,https://www.idf.il/נופלים/חללי-המלחמה/עילי-בר-שדה/
2023-10-07,איתי כהן,סרן,חיל ההנדסה הקרבית,M,22,רחובות,"מפקד צוות ביהל""ם. הועלה מדרגת סגן לדרגת סרן לאחר מותו.",1038.0,https://www.idf.il/נופלים/חללי-המלחמה/איתי-כהן/
2023-10-07,בן רובינשטיין,"סמ""ר","יחידת הלוט""ר",M,20,הוד השרון,"מדריך לוחם לוט""ר. הועלה מדרגת סמל לדרגת סמ""ר לאחר מותו.",115.0,https://www.idf.il/נופלים/חללי-המלחמה/בן-רובינשטיין/
2023-10-07,ירון אורי שי,"סמ""ר","חטיבת הנח""ל",M,21,קדימה צורן,"לוחם בסיירת נח""ל. הועלה מדרגת סמל לדרגת סמ""ר לאחר מותו.",286.0,https://www.idf.il/נופלים/חללי-המלחמה/ירון-אורי-שי/
2023-10-07,פלג סאלם,"רס""ן",עוצבת בני-אור (460),M,30,מושב יכיני,קצין לוגיסטיקה של חטיבה 460.,1192.0,https://www.idf.il/נופלים/חללי-המלחמה/פלג-סאלם/
2023-10-07,רועי נגרי,"רס""ן (במיל')","יחידת הלוט""ר",M,28,תל אביב,"מפק""ץ בביה""ס ללוט""ר. הועלה מדרגת סרן (במיל') לדרגת רס""ן (במיל') לאחר מותו.",107.0,https://www.idf.il/נופלים/חללי-המלחמה/רועי-נגרי/
2023-10-08,יוסף איתמר ברוכים,"סמ""ר",חטיבת הצנחנים,M,20,אשדוד,"רב-סמל פלוגתי בבא""ח צנחנים.",1078.0,https://www.idf.il/נופלים/חללי-המלחמה/יוסף-איתמר-ברוכים/
2023-10-07,שירה שוחט,סמל,חיל הגנת הגבולות,F,19,מודיעין מכבים רעות,"תצפיתנית בגדוד איסוף 414, חיל הגנת הגבולות. הועלתה מדרגת רב""ט לדרגת סמל לאחר מותה.",494.0,https://www.idf.il/נופלים/חללי-המלחמה/שירה-שוחט/
2023-10-07,עמית צור,סמל,חטיבת גולני,M,19,אליכין,"לוחם בגדוד 51. הועלה מדרגת רב""ט לדרגת סמל לאחר מותו.",255.0,https://www.idf.il/נופלים/חללי-המלחמה/עמית-צור/
2023-10-07,ניתאי עמאר,סרן,אוגדת עזה,M,22,עלומים,"ע' קצין הנדסה חטיבתי בחטמ""ר דרומית. הועלה מדרגת סגן לדרגת סרן לאחר מותו.",26.0,https://www.idf.il/נופלים/חללי-המלחמה/ניתאי-עמאר/
2023-10-07,אדיר טהר,סמל,חטיבת גולני,M,19,ירושלים,"לוחם בגדוד 13. הועלה מדרגת רב""ט לדרגת סמל לאחר מותו.",1585.0,https://www.idf.il/נופלים/חללי-המלחמה/אדיר-טהר/
2023-10-07,יונתן גוטין,סגן,היחידה הרב-מימדית,M,20,מודיעין מכבים רעות,"קצין תקשוב ביחידה הרבמ""ד. הועלה מדרגת סג""ם לדרגת סגן לאחר מותו.",231.0,https://www.idf.il/נופלים/חללי-המלחמה/יונתן-גוטין/
2023-10-07,טשגר טקה,"סמ""ר",חטיבת גולני,M,21,ירושלים,לוחם בגדוד 51 שבחטיבת גולני.,1294.0,https://www.idf.il/נופלים/חללי-המלחמה/טשגר-טקה/
2023-10-07,נוה אלעזר לקס,סגן,"סיירת מטכ""ל",M,21,לוד,"לוחם בסיירת מטכ""ל. הועלה מדרגת סמ""ר לדרגת סגן לאחר מותו.",223.0,https://www.idf.il/נופלים/חללי-המלחמה/נוה-אלעזר-לקס/
2023-10-08,אלי גינסברג,"סא""ל","יחידת הלוט""ר",M,42,דברת,"קצין לוחם בשייטת 13, בתפקידו האחרון היה מפקד בי""ס לוט""ר.",1178.0,https://www.idf.il/נופלים/חללי-המלחמה/אלי-גינסברג/
2023-10-07,עידן רז,"סמ""ר",חטיבת גולני,M,20,עין המפרץ,"לוחם בגדוד 13 שבחטיבת גולני. הועלה מדרגת סמל לדרגת סמ""ר לאחר מותו.",1580.0,https://www.idf.il/נופלים/חללי-המלחמה/עידן-רז/
2023-10-07,רועי פרי,סמל,חטיבת גולני,M,19,שוהם,"לוחם בגדוד 13 שבחטיבת גולני. הועלה מדרגת רב""ט לדרגת סמל לאחר מותו.",422.0,https://www.idf.il/נופלים/חללי-המלחמה/רועי-פרי/
2023-10-07,דוד מאיר,"רס""ן (במיל')","סיירת מטכ""ל",M,31,ירושלים,"לוחם בסיירת מטכ""ל. הועלה מדרגת סרן (במיל') לדרגת רס""ן (במיל') לאחר מותו.",154.0,https://www.idf.il/נופלים/חללי-המלחמה/דוד-מאיר/
2023-10-07,אור מלכה,"סמ""ר",מתאם פעולות הממשלה בשטחים,M,21,עכו,"חייל במתפ""ש. הועלה מדרגת סמל לדרגת סמ""ר לאחר מותו.",2010.0,https://www.idf.il/נופלים/חללי-המלחמה/אור-מלכה/
2023-10-08,אלכסנדר מאסלי,"סמ""ר",חיל ההנדסה הקרבית,M,21,עפולה,"טכנאי נמ""ר בגדוד 601 בחיל ההנדסה הקרבית.",263.0,https://www.idf.il/נופלים/חללי-המלחמה/אלכסנדר-מאסלי/
2023-10-07,רותם דושי,"סמ""ר",חטיבת הצנחנים,M,20,שמשית,"לוחם בחטיבת הצנחנים. הועלה מדרגת סמל לדרגת סמ""ר לאחר מותו.",1588.0,https://www.idf.il/נופלים/חללי-המלחמה/רותם-דושי/
2023-10-07,ליאור עזיזוב,סמל,חטיבת גולני,M,20,אשקלון,"לוחם בגדוד 13 שבחטיבת גולני. הועלה מדרגת רב""ט לדרגת סמל לאחר מותו.",1581.0,https://www.idf.il/נופלים/חללי-המלחמה/ליאור-עזיזוב/
2023-10-07,עדן נימרי,סרן,חיל התותחנים,F,22,מודיעין מכבים רעות,מפקדת צוות ברוכב שמיים (5353) בחיל התותחנים. הועלתה מדרגת סגן לדרגת סרן לאחר מותה.,1475.0,https://www.idf.il/נופלים/חללי-המלחמה/עדן-נימרי/
2023-10-08,תומר דולב,"רס""ר (במיל')",פיקוד העורף,M,34,אשקלון,"לוחם בגדוד בר שבחטיבת החילוץ. הועלה מדרגת רס""ל (במיל') לדרגת רס""ר (במיל') לאחר מותו.",1615.0,https://www.idf.il/נופלים/חללי-המלחמה/תומר-דולב/
2023-10-07,רועי צ׳אפל,"רס""ן","חטיבת הנח""ל",M,25,זכרון יעקב,"מ""פ בסיירת נח""ל. הועלה מדרגת סרן לדרגת רס""ן לאחר מותו.",1539.0,https://www.idf.il/נופלים/חללי-המלחמה/רועי-צ-אפל/
2023-10-07,אלינה פרבוסודובה,סרן,פיקוד העורף,F,23,חיפה,קצינה במחוז דרום בפיקוד העורף. הועלתה מדרגת סגן לדרגת סרן לאחר מותה.,1460.0,https://www.idf.il/נופלים/חללי-המלחמה/אלינה-פרבוסודובה/
2023-10-07,טל לוי,"סמ""ר","חטיבת הנח""ל",M,21,ירושלים,"מפקד כיתה בגדוד 50 שבחטיבת הנח""ל.",1714.0,https://www.idf.il/נופלים/חללי-המלחמה/טל-לוי/
2023-10-09,עלים עבדאללה,"סא""ל",עוצבת ברעם (300),M,40,יאנוח-ג'ת,סגן מפקד עוצבת ברעם.,1466.0,https://www.idf.il/נופלים/חללי-המלחמה/עלים-עבדאללה/
2023-10-07,עמיחי יעקב ונינו,"סמ""ר",חטיבת הקומנדו,M,22,קצרין,"מפקד כיתה ביחידת מגלן. הועלה מדרגת סמל לדרגת סמ""ר לאחר מותו.",370.0,https://www.idf.il/נופלים/חללי-המלחמה/עמיחי-יעקב-ונינו/
2023-10-07,אופיר טסטה,סמל,עוצבת סער מגולן (7),M,21,ירושלים,"לוחם שריון בגדוד 77 שבעוצבת 'סער מגולן' (7). הועלה מדרגת רב""ט לדרגת סמל לאחר מותו.",139.0,https://www.idf.il/נופלים/חללי-המלחמה/אופיר-טסטה/
2023-10-07,דוד רתנר,"סמ""ר",חטיבת גולני,M,20,אשדוד,לוחם בגדוד 13 שבחטיבת גולני.,491.0,https://www.idf.il/נופלים/חללי-המלחמה/דוד-רתנר/
2023-10-07,יונתן גולן,"סמ""ר",עוצבת סער מגולן (7),M,21,יהוד מונוסון,מפקד טנק בגדוד 77 שבעוצבת 'סער מגולן' (7).,229.0,https://www.idf.il/נופלים/חללי-המלחמה/יונתן-גולן/
2023-10-07,הדר קמה,סרן,"סיירת מטכ""ל",M,24,גבעת שפירא,"לוחם בסיירת מטכ""ל.",319.0,https://www.idf.il/נופלים/חללי-המלחמה/הדר-קמה/
2023-10-07,הלל שמואל סעדון,"סמ""ר","חטיבת הנח""ל",M,21,מעלה מכמש,"לוחם בסיירת נח""ל. הועלה מדרגת סמל לדרגת סמ""ר לאחר מותו.",1659.0,https://www.idf.il/נופלים/חללי-המלחמה/הלל-שמואל-סעדון/
2023-10-07,יוגב אהרן,"סמ""ר",חטיבת גולני,M,20,פרדס חנה,לוחם בגדוד 51 שבחטיבת גולני.,254.0,https://www.idf.il/נופלים/חללי-המלחמה/יוגב-אהרן/
2023-10-07,איתי נחמיאס,"סמ""ר",היחידה הרב-מימדית,M,20,ישע,"לוחם ביחידה הרב מימדית. הועלה מדרגת סמל לדרגת סמ""ר לאחר מותו.",1366.0,https://www.idf.il/נופלים/חללי-המלחמה/איתי-נחמיאס/
2023-10-08,אריאל אוחנה,סמל,חטיבת הצנחנים,M,19,רבדים,"לוחם בגדוד 890 שבחטיבת הצנחנים. הועלה מדרגת רב""ט לדרגת סמל לאחר מותו.",109.0,https://www.idf.il/נופלים/חללי-המלחמה/אריאל-אוחנה/
2023-10-07,אריאל ארז,סמל,חטיבת גולני,M,19,עמקה,"לוחם בגדוד 13 שבחטיבת גולני. הועלה מדרגת רב""ט לדרגת סמל לאחר מותו.",257.0,https://www.idf.il/נופלים/חללי-המלחמה/אריאל-ארז/
2023-10-07,טל כהן,"רס""ן","סיירת מטכ""ל",M,30,גני טל,"לוחם בסיירת מטכ""ל.",297.0,https://www.idf.il/נופלים/חללי-המלחמה/טל-כהן/
2023-10-07,סיון שמחה אסראף,"סמ""ר",החטיבה הצפונית,F,20,אשקלון,"רכזת אמצעי תקשוב. הועלתה מדרגת סמל לדרגת סמ""ר לאחר מותה.",464.0,https://www.idf.il/נופלים/חללי-המלחמה/סיון-שמחה-אסראף/
2023-10-07,עמית פלד,"רס""ל",חטיבת הקומנדו,M,21,חיפה,"לוחם ביחידת אגוז. הועלה מדרגת סמ""ר לדרגת רס""ל לאחר מותו.",397.0,https://www.idf.il/נופלים/חללי-המלחמה/עמית-פלד/
2023-10-07,עילי עזר,"רב""ט",אוגדת עזה,M,18,תל אביב,"חייל במפקדת אוגדת עזה. הועלה מדרגת טוראי לדרגת רב""ט לאחר מותו.",1077.0,https://www.idf.il/נופלים/חללי-המלחמה/עילי-עזר/
2023-10-07,יקיר לוי,"סמ""ר",חטיבת גולני,M,21,מורשת,"לוחם בגדוד 13 שבחטיבת גולני. הועלה מדרגת סמ""ל לדרגת סמ""ר לאחר מותו.",480.0,https://www.idf.il/נופלים/חללי-המלחמה/יקיר-לוי/
2023-10-07,דניאל משה דנינו,"סמ""ר",חטיבת גולני,M,21,חיפה,לוחם בגדוד 13 שבחטיבת גולני.,485.0,https://www.idf.il/נופלים/חללי-המלחמה/דניאל-משה-דנינו/
2023-10-07,דקל סויסה,סרן,חטיבת גולני,M,23,בר-גיורא,מפקד מחלקה בגדוד 13 שבחטיבת גולני. הועלה מדרגת סגן לדרגת סרן לאחר מותו.,1293.0,https://www.idf.il/נופלים/חללי-המלחמה/דקל-סויסה/
2023-10-07,שיר ביטון,סמל,החטיבה הצפונית,F,19,אשדוד,"חובשת בחטיבת צפונית. הועלתה מדרגת רב""ט לדרגת סמל לאחר מותה.",217.0,https://www.idf.il/נופלים/חללי-המלחמה/שיר-ביטון/
2023-10-07,בנימין לב,"סמ""ר",חטיבת הצנחנים,M,23,ירושלים,"לוחם בגדוד 202 שבחטיבת הצנחנים. הועלה מדרגת סמל לדרגת סמ""ר לאחר מותו.",235.0,https://www.idf.il/נופלים/חללי-המלחמה/בנימין-לב/
2023-10-07,יעד בן יעקב,"סמ""ר",חטיבת גולני,M,20,פתח תקווה,לוחם בגדוד 13 שבחטיבת גולני.,469.0,https://www.idf.il/נופלים/חללי-המלחמה/יעד-בן-יעקב/
2023-10-07,אושר שמעיה,סמל,אוגדת עזה,M,19,באר שבע,"חייל במפקדת אוגדת עזה. הועלה מדרגת רב""ט לדרגת סמל לאחר מותו.",1066.0,https://www.idf.il/נופלים/חללי-המלחמה/אושר-שמעיה/
2023-10-07,שיר שלמה,סמל,פיקוד העורף,F,19,נתניה,"סמלת מבצעים במחוז דרום של פיקוד העורף. הועלתה מדרגת רב""ט לדרגת סמל לאחר מותה.",1291.0,https://www.idf.il/נופלים/חללי-המלחמה/שיר-שלמה/
2023-10-07,רז פרץ,"רס""ן",חטיבת גולני,M,24,עפולה,"מפקד הפלס""ם בגדוד 51 שבחטיבת גולני. הועלה מדרגת סרן לדרגת רס""ן לאחר מותו.",398.0,https://www.idf.il/נופלים/חללי-המלחמה/רז-פרץ/
2023-10-07,מקס רבינוב,"סמ""ר",חיל הגנת הגבולות,M,21,אשדוד,לוחם בגדוד איסוף 414.,490.0,https://www.idf.il/נופלים/חללי-המלחמה/מקס-רבינוב/
2023-10-07,עידו ישראל שני,"רס""ן","חטיבת הנח""ל",M,29,רמת גן,"סגן מפקד סיירת נח""ל.",1279.0,https://www.idf.il/נופלים/חללי-המלחמה/עידו-ישראל-שני/
